Rk,Team,Rec,FBS,STR,KRE,Rk,KE,Rk,PRE,Rk,PE,Rk,FGE,Rk,OFG,Rk
1,Michigan,12-2,12-2,1.28,.17,17,.05,7,-.06,37,.36,4,.64,8,.16,16
2,Iowa,10-4,10-4,1.02,.18,13,.05,11,-.04,30,.18,54,.60,11,-.40,109
3,Texas A&M,8-4,7-4,.95,.20,10,-.01,36,-.04,31,.24,30,.47,19,-.11,52
4,NC State,9-3,8-3,.89,.34,1,-.04,62,-.12,52,.27,18,.06,78,-.18,66
5,Coastal Carolina,11-2,10-2,.85,.02,85,-.01,34,.30,1,.14,71,.27,46,-.63,126
6,San Diego State,12-2,11-2,.82,.16,20,.01,25,-.10,46,.29,13,.33,40,-.10,51
7,Boise State,7-5,7-5,.79,.01,90,.05,9,.05,6,.20,46,.52,15,.20,11
8,Tennessee,7-6,6-6,.77,.15,23,-.03,55,.01,12,.25,24,.24,53,-.53,121
9,Ball State,6-7,5-7,.75,.18,15,-.03,46,.02,10,.22,35,.13,67,-.28,91
10,UCLA,8-4,8-4,.75,.15,22,-.04,65,.11,3,.19,52,.14,66,-.35,102
11,Texas,5-7,5-7,.72,.00,96,-.06,69,.05,5,.35,5,.48,18,-.47,116
12,Cincinnati,13-1,12-1,.72,.19,11,.06,4,-.06,39,.41,1,-.69,127,-.46,115
13,Missouri,6-7,5-7,.71,.03,76,-.02,44,-.04,32,.16,60,1.04,1,-.21,74
14,Old Dominion,6-7,5-7,.65,.24,7,-.13,109,.14,2,.08,90,.11,69,-.20,69
15,Oregon State,7-6,6-6,.64,.04,65,.04,13,.04,8,.21,40,.16,63,-.25,84
16,Appalachian State,10-4,9-4,.64,.25,6,.01,24,-.25,109,.15,65,.46,21,-.15,58
17,Ohio State,11-2,11-2,.61,.08,46,.00,28,-.15,63,.22,32,.67,4,.05,28
18,Western Kentucky,9-5,8-5,.59,.12,29,-.03,45,-.05,34,.21,45,.32,41,-.76,128
19,Wake Forest,11-3,10-3,.56,.10,34,-.08,83,-.03,23,.23,31,.42,30,-.26,85
20,Arkansas State,2-10,1-10,.54,.16,18,-.08,85,-.20,89,.32,8,.41,32,-.24,83
21,Michigan State,11-2,10-2,.53,.01,88,.07,2,.02,11,.28,15,-.22,107,-.04,40
22,Virginia Tech,6-7,5-7,.52,.08,51,.02,22,-.02,22,.09,88,.43,26,-.26,86
23,Kansas State,8-5,7-5,.50,.28,3,-.09,92,-.05,35,.17,58,-.17,103,-.33,98
24,Colorado,4-8,3-8,.46,.14,24,-.03,51,-.05,33,.14,70,.20,57,-.09,48
25,Utah State,11-3,10-3,.45,.20,9,-.10,100,-.13,58,.31,11,.01,91,-.10,50
26,Stanford,3-9,3-9,.45,.08,44,-.02,42,-.10,44,.13,75,.59,12,-.13,55
27,Oklahoma State,12-2,11-2,.43,.25,5,-.01,38,-.29,121,.29,14,-.09,96,.10,22
28,Georgia,14-1,13-1,.42,.06,60,.05,10,-.15,62,.21,36,.22,56,.16,17
29,Texas Tech,7-6,6-6,.41,-.06,126,.03,16,-.22,98,.33,6,.70,3,-.15,59
30,Houston,12-2,11-2,.38,.27,4,-.23,124,.04,7,.14,73,.07,77,.20,12
31,South Carolina,7-6,6-6,.37,.04,64,.02,18,-.21,91,.16,64,.67,5,-.33,95
32,Clemson,10-3,9-3,.36,.11,32,-.03,57,-.24,108,.21,38,.56,13,.14,19
33,SMU,8-4,7-4,.35,.32,2,-.10,99,-.20,87,-.01,116,.44,25,.20,13
34,Nevada,8-5,7-5,.35,.02,81,-.07,75,-.01,17,.21,42,.33,39,-.21,71
35,Eastern Michigan,7-6,6-6,.35,.04,69,-.17,114,.01,13,.30,12,.40,33,-.05,43
36,Central Michigan,9-4,8-4,.33,.07,55,-.08,86,.06,4,.13,78,.17,62,-.21,76
37,South Florida,2-10,1-10,.30,.18,14,-.04,63,-.17,69,.01,111,.54,14,.51,5
38,Duke,3-9,2-9,.28,.13,27,-.01,32,-.03,26,.10,87,-.11,99,-.39,107
39,Texas State,4-8,4-7,.26,.03,72,.02,19,-.02,20,-.03,119,.49,16,.35,7
40,Baylor,12-2,11-2,.25,.10,38,.03,14,-.17,70,.27,17,-.29,112,.16,15
41,Notre Dame,11-2,11-2,.25,.08,49,-.01,35,-.18,77,.21,44,.20,58,-.02,36
42,California,5-7,4-7,.24,.10,35,.01,26,-.26,112,.16,62,.39,34,-.15,57
43,Georgia Tech,3-9,2-9,.24,.14,25,.12,1,-.18,75,.04,105,-.14,101,-.03,37
44,Ole Miss,10-3,9-3,.23,.07,52,.00,29,-.21,92,.20,47,.26,50,.18,14
45,Auburn,6-7,5-7,.23,.01,92,.00,30,-.13,55,.27,19,.09,74,-.39,108
46,Minnesota,9-4,9-4,.22,.03,75,.07,3,-.23,103,.28,16,-.04,92,-.29,93
47,LSU,6-7,5-7,.21,.03,78,-.02,41,-.19,84,.15,68,.63,10,-.15,61
48,Fresno State,10-3,9-3,.21,.02,80,-.05,68,-.19,81,.17,59,.65,7,-.38,106
49,Pittsburgh,11-3,10-3,.21,.05,63,-.04,59,-.07,40,.12,80,.27,47,-.12,54
50,Charlotte,5-7,4-7,.20,.09,41,-.07,76,-.04,29,.19,51,-.07,95,.51,4
51,Florida,6-7,5-7,.20,-.04,116,-.02,43,-.03,24,.25,22,.02,87,-.03,39
52,Washington,4-8,4-7,.18,.06,59,.02,17,-.24,107,.21,37,.17,61,-.38,105
53,Penn State,7-6,6-6,.16,-.04,114,.02,20,-.21,95,.36,3,.01,90,-.27,87
54,Rutgers,5-8,4-8,.14,-.03,107,.05,8,-.16,67,.32,7,-.25,109,.58,2
55,Army,9-4,8-4,.14,.06,57,-.09,96,-.03,27,.24,28,-.17,102,-.63,125
56,Kentucky,10-3,9-3,.13,.01,93,.00,27,-.11,48,.18,53,.06,79,-.33,99
57,Illinois,5-7,5-7,.13,.00,95,-.08,90,-.29,119,.31,10,.63,9,.11,20
58,Northern Illinois,9-5,8-5,.13,.12,30,-.07,79,-.13,54,.10,85,.20,59,-.24,82
59,UTSA,12-2,11-2,.11,-.04,115,-.07,80,-.20,88,.38,2,.24,52,-.28,90
60,Louisville,6-7,5-7,.10,.09,39,-.03,47,-.14,60,.18,56,-.09,97,-.51,119
61,Oklahoma,11-2,10-2,.08,.07,54,-.10,98,-.33,127,.32,9,.43,27,.10,23
